firstname;gender
Cristina;w
Cristoforo;m
Cristovão;m
Crystal;w
Curd;m
Curdin;m
Curt;m
Curt;m
Curtis;m
Curtiz;m
Curzio;m
Cynthia;w
Cyra;w
Cyriac;m
Cyriacus;m
Cyril;m
Cyrill;m
Cyrille;m
Cyrillus;m
Cyrus;m
Dafina;w
Dafne;w
Dag;m
Dagmar;w
Dagobert;m
Dahlia;w
Daisy;w
Dajana;w
Dakota;m
Dale;m
Dalia;w
Daliah;w
Dalibor;m
Dalibora;w
Dalila;w
Dalilah;w
Daliyah;w
Dalton;m
Damaris;w
Damian;m
Damián;m
Damiana;w
Damiano;m
Damien;m
Damion;m
Damir;m
Damla;w
Damon;m
Dan;m
Dan;m
Dana;w
Danaë;w
Dani;m
Dania;w
Danica;w
Danice;w
Daniel;m
Daniela;w
Daniele;w
Daniele;m
Daniella;w
Danielle;w
Danielo;m
Daniil;m
Danijel;m
Danijela;w
Danika;w
Danila;w
Danilo;m
Danja;w
Dankmar;m
Dankrad;m
Danny;m
Dante;m
Daphne;w
Dara;m
Dardan;m
Daren;m
Daria;w
Darian;m
Darin;m
Dario;m
Darius;m
Darja;w
Darko;m
Darleene;w
Darlene;w
Daron;m
Darragh;m
Darrell;m
Darren;m
Darrin;m
Darron;m
Darryl;m
Darwin;m
Darya;w
Daryl;m
Dave;m
David;m
Davida;w
Davide;m
Davina;w
Davor;m
Dawn;w
Dayana;w
Dean;m
Deanna;w
Debbie;w
Debby;w
Debora;w
Deborah;w
Debra;w
Dejan;m
Delfina;w
Delfine;w
Delia;w
Deliane;w
Delila;w
Delilah;w
Della;w
Delores;w
Delphina;w
Delphine;w
Demetria;w
Demetrio;m
Demi;w
Denes;m
Denis;m
Denise;w
Deniz;m
Dennis;m
Denny;m
Denys;m
Derek;m
Derk;m
Derrick;m
Desanka;w
Desideria;w
Desiderio;m
Desiree;w
Désirée;w
Destiny;w
Detlef;m
Detlev;m
Devin;m
Diamond;w
Diana;w
Diane;w
Dianne;w
Dick;m
Didaco;m
Didier;m
Diebald;m
Diego;m
Diego;m
Diellza;w
Dierk;m
Dieter;m
Diethard;m
Dietmar;m
Dietreich;m
Dietrich;m
Digna;w
Dijana;w
Dilan;m
Dilara;w
Dilek;w
Diletta;w
Dimitri;m
Dimitrij;m
Dina;w
Dinah;w
Dino;m
Diogo;m
Diogo;m
Dion;m
Dionys;m
Dionysius;m
Dirk;m
Ditmar;m
Dittmar;m
Djamal;m
Djamil;m
Djamila;w
Djordje;m
Dmitri;m
Doireann;w
Dolf;m
Dolly;w
Dolores;w
Domenic;m
Domenica;w
Domenico;m
Domenik;m
Domenique;m
Domingo;m
Dominic;m
Dominica;w
Dominik;m
Dominika;w
Dominique;w
Dominique;m
Domitilla;w
Domiziana;w
Domiziano;m
Don;m
Donald;m
Donalda;w
Donat;m
Donata;w
Donato;m
Donella;w
Donika;w
Donna;w
Donnie;m
Dora;w
Dora;w
Doreen;w
Dorentina;w
Dores;w
Dorian;m
Doriana;w
Dorina;w
Doris;w
Dorit;w
Dorotea;w
Dorothea;w
Dorothee;w
Dorothée;w
Dorothy;w
Doug;m
Douglas;m
Draga;w
Dragan;m
Dragana;w
Dragica;w
Dragisa;m
Drago;m
Dragoljub;m
Dragomir;m
Dragomira;w
Dragoslav;m
Dragotin;m
Dragutin;m
Drilon;m
Driton;m
Drusilla;w
Duane;m
Duarte;m
Duncan;m
Dunja;w
Durante;m
Dusan;m
Dusana;w
Dusanka;m
Dustin;m
Duygu;w
Dwayne;m
Dwight;m
Dylan;m
Dymitr;m
Earl;m
Earle;m
Earline;w
Earnest;m
Ebba;w
Ebbo;m
Ebenezer;m
Eberhard;m
Eberhart;m
Ebru;w
Eckard;m
Eckhard;m
Ed;m
Eda;w
Edda;w
Eddie;m
Eddy;m
Edeltraud;w
Edeltrud;w
Eden;w
Edgar;m
Edgarda;w
Edgardo;m
Edgaro;m
Edi;m
Edin;m
Edina;m
Edis;m
Edison;m
Edita;w
Edith;w
Editha;w
Editta;w
Edmond;m
Edmonda;w
Edmondo;m
Edmund;m
Edna;w
Edna;w
Edoarda;w
Edoardo;m
Edon;m
Edona;w
Edouard;m
Édouard;m
Eduard;m
Eduarda;w
Eduardo;m
Edvard;m
Edvige;w
Edward;m
Edwige;w
Edwin;m
Edwina;w
Edwine;w
Edzard;m
Efraim;m
Efrain;m
Efrem;m
Eggert;m
Egid;m
Egidio;m
Egidius;m
Egle;w
Egmond;m
Egmont;m
Egmund;m
Egon;m
Egzon;m
Egzona;w
Ehrhard;m
Eicke;u
Eija;w
Eike;w
Eike;m
Eiko;w
Eiko;m
Eileen;w
Eireann;w
Eistir;w
Eithne;w
Élaine;w
Elanor;w
Elda;w
Eldin;m
Elea;w
Eleanor;w
Elena;w
Eleni;w
Eleonora;w
Eléonore;w
Elettra;w
Elfreda;w
Elfrida;w
Elfriede;w
Eli;m
Elia;w
Eliana;w
Eliane;w
Éliane;w
Elias;m
Elicio;m
Elie;m
Elif;w
Eligio;m
Eligius;m
Elija;m
Elijah;m
Elin;w
Elina;w
Eline;w
Elio;m
Eliot;m
Eliott;m
Elisa;w
Elisa;m
Elisabeth;w
Elisabetha;w
Elisabetta;w
Elisabettina;w
Elischa;m
Elise;w
Eliseo;m
Elisha;m
Eliza;w
Elizabeth;w
Elkanah;m
Elke;w
Ella;w
Ellen;w
Elli;w
Ellie;w
Elliot;m
Elliott;m
Ellis;m
Ellis;m
Ellmar;m
Elly;w
Elma;w
Elmar;m
Elmedina;w
Elmer;m
Elmira;w
Elmo;m
Élodie;w
Eloise;w
Éloise;w
Elsa;w
Elsbeth;w
Elsie;w
Elton;m
Elvia;w
Elviana;w
Elviano;m
Elvio;m
Elvira;w
Elvire;w
Elvis;m
Elwin;m
Emanuel;m
Emanuela;w
Emanuele;m
Emanuelle;w
Emely;w
Emerald;w
Emerentia;w
Emerentiana;w
Emerenz;w
Emerenziana;w
Emerich;m
Emil;m
Émile;m
Emilia;w
Emilian;m
Emilie;w
Émilie;w
Émilien;m
Emilio;m
Emily;w
Emina;w
Emine;w
Emir;m
Emma;w
Emmanuel;m
Emmanuelle;w
Emmerich;m
Emmy;w
Emre;m
Endrit;m
Enea;m
Enes;m
Engelbert;m
Engin;m
Engus;m
Enis;m
Enna;w
Ennio;m
Enno;m
Enoch;m
Enola;w
Enos;m
Enosch;m
Enosh;m
Enrica;w
Enrico;m
Enrique;m
Enya;w
Enza;w
Enzio;m
Enzo;m
Eoghan;m
Eoin;m
Eolo;m
Ephraim;m
Erasmo;m
Erasmus;m
Erdal;m
Eren;m
Erhard;m
Erhart;m
Eriberto;m
Eric;m
Erica;w
Erich;m
Erico;m
Erik;m
Erika;w
Erin;w
Erkan;m
Erkenbald;m
Erle;m
Erma;w
Ermanno;m
Ermenegilde;m
Ermenegildo;m
Ermengarda;w
Ermes;m
Ermete;w
Ermin;m
Erminia;w
Erminio;m
Erna;w
Ernest;m
Ernesta;w
Ernestin;m
Ernestina;w
Ernestine;w
Ernesto;m
Ernst;m
Erol;m
Eros;m
Ersilia;w
Erwin;m
Esmeralda;w
Esperanza;w
Esra;w
Esra;m
Estéban;m
Estefanía;w
Estella;w
Estelle;w
Ester;w
Esther;w
Estrella;w
Eszter;w
Ethan;m
Ethel;w
Étienne;m
Ettore;m
Euan;m
Eugen;m
Eugene;m
Eugène;m
Eugenia;w
Eugenie;w
Eugénie;w
Eugenio;m
Eugênio;m
Eugeniusz;m
Eulalia;w
Eulalie;w
Eulalio;m
Eunice;w
Eunike;w
Eustace;m
Eustach;m
Eustache;m
Eustachio;m
Eustachius;m
Eustacia;w
Eustaquio;m
Eva;w
Eva-Maria;w
Evamaria;w
Evamarie;w
Evan;m
Evaristo;m
Eve;w
Evelin;w
Evelina;w
Eveline;w
Evelyn;w
